;id;org:resource;concept:name;time:timestamp;org:role;case:Permit travel permit number;case:Task;case:OrganizationalEntity;case:RequestedAmount;case:Activity;case:Permit TaskNumber;case:Permit BudgetNumber;case:Permit ProjectNumber;case:Project;case:concept:name;case:Permit OrganizationalEntity;case:Permit RequestedBudget;case:Cost Type;case:Permit id;case:Permit ActivityNumber;case:RfpNumber;object:name;action:name;action:status;org:actor:name;org:actor:name:a
601;st_step 39929_0;STAFF MEMBER;Permit APPROVED by ADMINISTRATION;2018-01-11 18:59:49+01:00;ADMINISTRATION;travel permit number 39922;UNKNOWN;organizational unit 65462;1749.5726751960467;UNKNOWN;UNKNOWN;budget 774;UNKNOWN;project 503;request for payment 39924;organizational unit 65459;2722.2555089824787;0;travel permit 39921;activity 39923;UNKNOWN; permit; approved;; administration, administration;, STAFF MEMBER
602;st_step 39933_0;STAFF MEMBER;Permit APPROVED by BUDGET OWNER;2018-01-15 15:08:38+01:00;BUDGET OWNER;travel permit number 39922;UNKNOWN;organizational unit 65462;1749.5726751960467;UNKNOWN;UNKNOWN;budget 774;UNKNOWN;project 503;request for payment 39924;organizational unit 65459;2722.2555089824787;0;travel permit 39921;activity 39923;UNKNOWN; permit; approved;; budget owner, budget owner;, STAFF MEMBER
603;st_step 39930_0;STAFF MEMBER;Permit APPROVED by SUPERVISOR;2018-01-18 09:58:08+01:00;SUPERVISOR;travel permit number 39922;UNKNOWN;organizational unit 65462;1749.5726751960467;UNKNOWN;UNKNOWN;budget 774;UNKNOWN;project 503;request for payment 39924;organizational unit 65459;2722.2555089824787;0;travel permit 39921;activity 39923;UNKNOWN; permit; approved;; supervisor, supervisor;, STAFF MEMBER
604;st_step 39932_0;STAFF MEMBER;Permit FINAL_APPROVED by DIRECTOR;2018-01-18 16:47:26+01:00;DIRECTOR;travel permit number 39922;UNKNOWN;organizational unit 65462;1749.5726751960467;UNKNOWN;UNKNOWN;budget 774;UNKNOWN;project 503;request for payment 39924;organizational unit 65459;2722.2555089824787;0;travel permit 39921;activity 39923;UNKNOWN; permit; approved; final; director, director;, STAFF MEMBER
605;st_step 39937_0;STAFF MEMBER;Request For Payment SUBMITTED by EMPLOYEE;2018-03-04 13:38:01+01:00;EMPLOYEE;travel permit number 39922;UNKNOWN;organizational unit 65462;1749.5726751960467;UNKNOWN;UNKNOWN;budget 774;UNKNOWN;project 503;request for payment 39924;organizational unit 65459;2722.2555089824787;0;travel permit 39921;activity 39923;UNKNOWN; request for payment, employee; submitted;; employee;, STAFF MEMBER
606;st_step 39938_0;STAFF MEMBER;Request For Payment REJECTED by ADMINISTRATION;2018-03-04 13:38:18+01:00;ADMINISTRATION;travel permit number 39922;UNKNOWN;organizational unit 65462;1749.5726751960467;UNKNOWN;UNKNOWN;budget 774;UNKNOWN;project 503;request for payment 39924;organizational unit 65459;2722.2555089824787;0;travel permit 39921;activity 39923;UNKNOWN; request for payment; rejected;; administration, administration;, STAFF MEMBER
607;st_step 39939_0;STAFF MEMBER;Request For Payment REJECTED by EMPLOYEE;2018-03-05 14:55:47+01:00;EMPLOYEE;travel permit number 39922;UNKNOWN;organizational unit 65462;1749.5726751960467;UNKNOWN;UNKNOWN;budget 774;UNKNOWN;project 503;request for payment 39924;organizational unit 65459;2722.2555089824787;0;travel permit 39921;activity 39923;UNKNOWN; request for payment, employee; rejected;; employee;, STAFF MEMBER
608;st_step 39934_0;STAFF MEMBER;Request For Payment SUBMITTED by EMPLOYEE;2018-03-11 14:54:50+01:00;EMPLOYEE;travel permit number 39922;UNKNOWN;organizational unit 65462;1749.5726751960467;UNKNOWN;UNKNOWN;budget 774;UNKNOWN;project 503;request for payment 39924;organizational unit 65459;2722.2555089824787;0;travel permit 39921;activity 39923;UNKNOWN; request for payment, employee; submitted;; employee;, STAFF MEMBER
609;st_step 39935_0;STAFF MEMBER;Request For Payment REJECTED by ADMINISTRATION;2018-03-11 15:13:04+01:00;ADMINISTRATION;travel permit number 39922;UNKNOWN;organizational unit 65462;1749.5726751960467;UNKNOWN;UNKNOWN;budget 774;UNKNOWN;project 503;request for payment 39924;organizational unit 65459;2722.2555089824787;0;travel permit 39921;activity 39923;UNKNOWN; request for payment; rejected;; administration, administration;, STAFF MEMBER
610;st_step 39936_0;STAFF MEMBER;Request For Payment REJECTED by EMPLOYEE;2018-03-13 14:34:13+01:00;EMPLOYEE;travel permit number 39922;UNKNOWN;organizational unit 65462;1749.5726751960467;UNKNOWN;UNKNOWN;budget 774;UNKNOWN;project 503;request for payment 39924;organizational unit 65459;2722.2555089824787;0;travel permit 39921;activity 39923;UNKNOWN; request for payment, employee; rejected;; employee;, STAFF MEMBER
611;st_step 55507_0;STAFF MEMBER;Permit SUBMITTED by EMPLOYEE;2018-01-15 09:39:39+01:00;EMPLOYEE;travel permit number 55500;UNKNOWN;organizational unit 65456;552.5898678085928;UNKNOWN;UNKNOWN;budget 673;UNKNOWN;project 503;request for payment 55501;organizational unit 65457;985.077226875061;0;travel permit 55499;UNKNOWN;request for payment number 55502; permit, employee; submitted;; employee;, STAFF MEMBER
612;st_step 55506_0;STAFF MEMBER;Permit APPROVED by ADMINISTRATION;2018-01-15 09:39:45+01:00;ADMINISTRATION;travel permit number 55500;UNKNOWN;organizational unit 65456;552.5898678085928;UNKNOWN;UNKNOWN;budget 673;UNKNOWN;project 503;request for payment 55501;organizational unit 65457;985.077226875061;0;travel permit 55499;UNKNOWN;request for payment number 55502; permit; approved;; administration, administration;, STAFF MEMBER
613;st_step 55509_0;STAFF MEMBER;Request For Payment SUBMITTED by EMPLOYEE;2018-01-15 09:46:00+01:00;EMPLOYEE;travel permit number 55500;UNKNOWN;organizational unit 65456;552.5898678085928;UNKNOWN;UNKNOWN;budget 673;UNKNOWN;project 503;request for payment 55501;organizational unit 65457;985.077226875061;0;travel permit 55499;UNKNOWN;request for payment number 55502; request for payment, employee; submitted;; employee;, STAFF MEMBER
614;st_step 55510_0;STAFF MEMBER;Request For Payment APPROVED by ADMINISTRATION;2018-01-15 09:51:42+01:00;ADMINISTRATION;travel permit number 55500;UNKNOWN;organizational unit 65456;552.5898678085928;UNKNOWN;UNKNOWN;budget 673;UNKNOWN;project 503;request for payment 55501;organizational unit 65457;985.077226875061;0;travel permit 55499;UNKNOWN;request for payment number 55502; request for payment; approved;; administration, administration;, STAFF MEMBER
615;st_step 55508_0;STAFF MEMBER;Request For Payment FINAL_APPROVED by SUPERVISOR;2018-01-15 10:22:21+01:00;SUPERVISOR;travel permit number 55500;UNKNOWN;organizational unit 65456;552.5898678085928;UNKNOWN;UNKNOWN;budget 673;UNKNOWN;project 503;request for payment 55501;organizational unit 65457;985.077226875061;0;travel permit 55499;UNKNOWN;request for payment number 55502; request for payment; approved; final; supervisor, supervisor;, STAFF MEMBER
616;st_step 55505_0;STAFF MEMBER;Permit FINAL_APPROVED by SUPERVISOR;2018-01-15 11:24:04+01:00;SUPERVISOR;travel permit number 55500;UNKNOWN;organizational unit 65456;552.5898678085928;UNKNOWN;UNKNOWN;budget 673;UNKNOWN;project 503;request for payment 55501;organizational unit 65457;985.077226875061;0;travel permit 55499;UNKNOWN;request for payment number 55502; permit; approved; final; supervisor, supervisor;, STAFF MEMBER
617;rp_request for payment 55501_15;SYSTEM;Request Payment;2018-01-16 12:17:44+01:00;UNDEFINED;travel permit number 55500;UNKNOWN;organizational unit 65456;552.5898678085928;UNKNOWN;UNKNOWN;budget 673;UNKNOWN;project 503;request for payment 55501;organizational unit 65457;985.077226875061;0;travel permit 55499;UNKNOWN;request for payment number 55502; payment; request;;;, SYSTEM
618;rp_request for payment 55501_16;SYSTEM;Payment Handled;2018-01-18 17:31:10+01:00;UNDEFINED;travel permit number 55500;UNKNOWN;organizational unit 65456;552.5898678085928;UNKNOWN;UNKNOWN;budget 673;UNKNOWN;project 503;request for payment 55501;organizational unit 65457;985.077226875061;0;travel permit 55499;UNKNOWN;request for payment number 55502; payment; handled;;;, SYSTEM
619;st_step 6811_0;STAFF MEMBER;Permit SUBMITTED by EMPLOYEE;2018-01-16 08:49:05+01:00;EMPLOYEE;travel permit number 6802;UNKNOWN;organizational unit 65472;791.04187723813;UNKNOWN;UNKNOWN;budget 425;UNKNOWN;project 503;request for payment 6804;organizational unit 65461;1221.7960029180888;0;travel permit 6801;activity 6803;request for payment number 6805; permit, employee; submitted;; employee;, STAFF MEMBER
620;st_step 6810_0;STAFF MEMBER;Permit APPROVED by ADMINISTRATION;2018-01-16 08:49:10+01:00;ADMINISTRATION;travel permit number 6802;UNKNOWN;organizational unit 65472;791.04187723813;UNKNOWN;UNKNOWN;budget 425;UNKNOWN;project 503;request for payment 6804;organizational unit 65461;1221.7960029180888;0;travel permit 6801;activity 6803;request for payment number 6805; permit; approved;; administration, administration;, STAFF MEMBER
621;st_step 6809_0;STAFF MEMBER;Permit APPROVED by BUDGET OWNER;2018-01-16 12:08:02+01:00;BUDGET OWNER;travel permit number 6802;UNKNOWN;organizational unit 65472;791.04187723813;UNKNOWN;UNKNOWN;budget 425;UNKNOWN;project 503;request for payment 6804;organizational unit 65461;1221.7960029180888;0;travel permit 6801;activity 6803;request for payment number 6805; permit; approved;; budget owner, budget owner;, STAFF MEMBER
622;st_step 6812_0;STAFF MEMBER;Request For Payment SUBMITTED by EMPLOYEE;2018-01-17 14:15:46+01:00;EMPLOYEE;travel permit number 6802;UNKNOWN;organizational unit 65472;791.04187723813;UNKNOWN;UNKNOWN;budget 425;UNKNOWN;project 503;request for payment 6804;organizational unit 65461;1221.7960029180888;0;travel permit 6801;activity 6803;request for payment number 6805; request for payment, employee; submitted;; employee;, STAFF MEMBER
623;st_step 6813_0;STAFF MEMBER;Request For Payment APPROVED by ADMINISTRATION;2018-01-17 14:17:29+01:00;ADMINISTRATION;travel permit number 6802;UNKNOWN;organizational unit 65472;791.04187723813;UNKNOWN;UNKNOWN;budget 425;UNKNOWN;project 503;request for payment 6804;organizational unit 65461;1221.7960029180888;0;travel permit 6801;activity 6803;request for payment number 6805; request for payment; approved;; administration, administration;, STAFF MEMBER
624;st_step 6814_0;STAFF MEMBER;Request For Payment APPROVED by BUDGET OWNER;2018-01-18 14:49:53+01:00;BUDGET OWNER;travel permit number 6802;UNKNOWN;organizational unit 65472;791.04187723813;UNKNOWN;UNKNOWN;budget 425;UNKNOWN;project 503;request for payment 6804;organizational unit 65461;1221.7960029180888;0;travel permit 6801;activity 6803;request for payment number 6805; request for payment; approved;; budget owner, budget owner;, STAFF MEMBER
625;st_step 6815_0;STAFF MEMBER;Request For Payment FINAL_APPROVED by SUPERVISOR;2018-01-24 11:09:35+01:00;SUPERVISOR;travel permit number 6802;UNKNOWN;organizational unit 65472;791.04187723813;UNKNOWN;UNKNOWN;budget 425;UNKNOWN;project 503;request for payment 6804;organizational unit 65461;1221.7960029180888;0;travel permit 6801;activity 6803;request for payment number 6805; request for payment; approved; final; supervisor, supervisor;, STAFF MEMBER
626;st_step 6808_0;STAFF MEMBER;Permit FINAL_APPROVED by SUPERVISOR;2018-01-24 11:10:19+01:00;SUPERVISOR;travel permit number 6802;UNKNOWN;organizational unit 65472;791.04187723813;UNKNOWN;UNKNOWN;budget 425;UNKNOWN;project 503;request for payment 6804;organizational unit 65461;1221.7960029180888;0;travel permit 6801;activity 6803;request for payment number 6805; permit; approved; final; supervisor, supervisor;, STAFF MEMBER
627;rp_request for payment 6804_15;SYSTEM;Request Payment;2018-01-30 15:38:37+01:00;UNDEFINED;travel permit number 6802;UNKNOWN;organizational unit 65472;791.04187723813;UNKNOWN;UNKNOWN;budget 425;UNKNOWN;project 503;request for payment 6804;organizational unit 65461;1221.7960029180888;0;travel permit 6801;activity 6803;request for payment number 6805; payment; request;;;, SYSTEM
628;rp_request for payment 6804_16;SYSTEM;Payment Handled;2018-02-01 17:31:18+01:00;UNDEFINED;travel permit number 6802;UNKNOWN;organizational unit 65472;791.04187723813;UNKNOWN;UNKNOWN;budget 425;UNKNOWN;project 503;request for payment 6804;organizational unit 65461;1221.7960029180888;0;travel permit 6801;activity 6803;request for payment number 6805; payment; handled;;;, SYSTEM
629;st_step 185709_0;STAFF MEMBER;Request For Payment SUBMITTED by EMPLOYEE;2018-01-18 15:26:15+01:00;EMPLOYEE;UNKNOWN;task 11489;organizational unit 65461;221.85109867118808;activity 505;UNKNOWN;UNKNOWN;UNKNOWN;project 148052;request for payment 185703;UNKNOWN;0.0;0;UNKNOWN;UNKNOWN;request for payment number 185704; request for payment, employee; submitted;; employee;, STAFF MEMBER
630;st_step 185711_0;STAFF MEMBER;Request For Payment APPROVED by ADMINISTRATION;2018-01-18 15:26:27+01:00;ADMINISTRATION;UNKNOWN;task 11489;organizational unit 65461;221.85109867118808;activity 505;UNKNOWN;UNKNOWN;UNKNOWN;project 148052;request for payment 185703;UNKNOWN;0.0;0;UNKNOWN;UNKNOWN;request for payment number 185704; request for payment; approved;; administration, administration;, STAFF MEMBER
631;st_step 185712_0;STAFF MEMBER;Request For Payment REJECTED by SUPERVISOR;2018-01-23 16:23:51+01:00;SUPERVISOR;UNKNOWN;task 11489;organizational unit 65461;221.85109867118808;activity 505;UNKNOWN;UNKNOWN;UNKNOWN;project 148052;request for payment 185703;UNKNOWN;0.0;0;UNKNOWN;UNKNOWN;request for payment number 185704; request for payment; rejected;; supervisor, supervisor;, STAFF MEMBER
632;st_step 185710_0;STAFF MEMBER;Request For Payment REJECTED by EMPLOYEE;2018-01-24 08:47:05+01:00;EMPLOYEE;UNKNOWN;task 11489;organizational unit 65461;221.85109867118808;activity 505;UNKNOWN;UNKNOWN;UNKNOWN;project 148052;request for payment 185703;UNKNOWN;0.0;0;UNKNOWN;UNKNOWN;request for payment number 185704; request for payment, employee; rejected;; employee;, STAFF MEMBER
633;st_step 185708_0;STAFF MEMBER;Request For Payment SUBMITTED by EMPLOYEE;2018-01-29 10:34:11+01:00;EMPLOYEE;UNKNOWN;task 11489;organizational unit 65461;221.85109867118808;activity 505;UNKNOWN;UNKNOWN;UNKNOWN;project 148052;request for payment 185703;UNKNOWN;0.0;0;UNKNOWN;UNKNOWN;request for payment number 185704; request for payment, employee; submitted;; employee;, STAFF MEMBER
634;st_step 185707_0;STAFF MEMBER;Request For Payment APPROVED by ADMINISTRATION;2018-01-29 10:34:33+01:00;ADMINISTRATION;UNKNOWN;task 11489;organizational unit 65461;221.85109867118808;activity 505;UNKNOWN;UNKNOWN;UNKNOWN;project 148052;request for payment 185703;UNKNOWN;0.0;0;UNKNOWN;UNKNOWN;request for payment number 185704; request for payment; approved;; administration, administration;, STAFF MEMBER
635;st_step 185705_0;STAFF MEMBER;Request For Payment APPROVED by BUDGET OWNER;2018-01-30 13:49:32+01:00;BUDGET OWNER;UNKNOWN;task 11489;organizational unit 65461;221.85109867118808;activity 505;UNKNOWN;UNKNOWN;UNKNOWN;project 148052;request for payment 185703;UNKNOWN;0.0;0;UNKNOWN;UNKNOWN;request for payment number 185704; request for payment; approved;; budget owner, budget owner;, STAFF MEMBER
636;st_step 185706_0;STAFF MEMBER;Request For Payment FINAL_APPROVED by SUPERVISOR;2018-02-01 08:41:54+01:00;SUPERVISOR;UNKNOWN;task 11489;organizational unit 65461;221.85109867118808;activity 505;UNKNOWN;UNKNOWN;UNKNOWN;project 148052;request for payment 185703;UNKNOWN;0.0;0;UNKNOWN;UNKNOWN;request for payment number 185704; request for payment; approved; final; supervisor, supervisor;, STAFF MEMBER
637;rp_request for payment 185703_15;SYSTEM;Request Payment;2018-02-01 09:15:36+01:00;UNDEFINED;UNKNOWN;task 11489;organizational unit 65461;221.85109867118808;activity 505;UNKNOWN;UNKNOWN;UNKNOWN;project 148052;request for payment 185703;UNKNOWN;0.0;0;UNKNOWN;UNKNOWN;request for payment number 185704; payment; request;;;, SYSTEM
638;rp_request for payment 185703_16;SYSTEM;Payment Handled;2018-02-05 17:31:03+01:00;UNDEFINED;UNKNOWN;task 11489;organizational unit 65461;221.85109867118808;activity 505;UNKNOWN;UNKNOWN;UNKNOWN;project 148052;request for payment 185703;UNKNOWN;0.0;0;UNKNOWN;UNKNOWN;request for payment number 185704; payment; handled;;;, SYSTEM
639;st_step 185638_0;STAFF MEMBER;Request For Payment SUBMITTED by EMPLOYEE;2018-01-20 15:07:17+01:00;EMPLOYEE;travel permit number 424;UNKNOWN;organizational unit 65462;1581.4098480086489;UNKNOWN;task 427;budget 425;project 426;project 503;request for payment 185628;organizational unit 65454;923.0813153823278;0;travel permit 423;UNKNOWN;request for payment number 185629; request for payment, employee; submitted;; employee;, STAFF MEMBER
640;st_step 185640_0;STAFF MEMBER;Request For Payment REJECTED by ADMINISTRATION;2018-01-20 15:07:25+01:00;ADMINISTRATION;travel permit number 424;UNKNOWN;organizational unit 65462;1581.4098480086489;UNKNOWN;task 427;budget 425;project 426;project 503;request for payment 185628;organizational unit 65454;923.0813153823278;0;travel permit 423;UNKNOWN;request for payment number 185629; request for payment; rejected;; administration, administration;, STAFF MEMBER
641;st_step 185639_0;STAFF MEMBER;Request For Payment REJECTED by EMPLOYEE;2018-01-22 16:40:00+01:00;EMPLOYEE;travel permit number 424;UNKNOWN;organizational unit 65462;1581.4098480086489;UNKNOWN;task 427;budget 425;project 426;project 503;request for payment 185628;organizational unit 65454;923.0813153823278;0;travel permit 423;UNKNOWN;request for payment number 185629; request for payment, employee; rejected;; employee;, STAFF MEMBER
642;st_step 185634_0;STAFF MEMBER;Request For Payment SUBMITTED by EMPLOYEE;2018-01-27 17:07:07+01:00;EMPLOYEE;travel permit number 424;UNKNOWN;organizational unit 65462;1581.4098480086489;UNKNOWN;task 427;budget 425;project 426;project 503;request for payment 185628;organizational unit 65454;923.0813153823278;0;travel permit 423;UNKNOWN;request for payment number 185629; request for payment, employee; submitted;; employee;, STAFF MEMBER
643;st_step 185635_0;STAFF MEMBER;Request For Payment APPROVED by ADMINISTRATION;2018-01-27 17:07:40+01:00;ADMINISTRATION;travel permit number 424;UNKNOWN;organizational unit 65462;1581.4098480086489;UNKNOWN;task 427;budget 425;project 426;project 503;request for payment 185628;organizational unit 65454;923.0813153823278;0;travel permit 423;UNKNOWN;request for payment number 185629; request for payment; approved;; administration, administration;, STAFF MEMBER
644;st_step 185637_0;STAFF MEMBER;Request For Payment REJECTED by SUPERVISOR;2018-01-31 12:19:31+01:00;SUPERVISOR;travel permit number 424;UNKNOWN;organizational unit 65462;1581.4098480086489;UNKNOWN;task 427;budget 425;project 426;project 503;request for payment 185628;organizational unit 65454;923.0813153823278;0;travel permit 423;UNKNOWN;request for payment number 185629; request for payment; rejected;; supervisor, supervisor;, STAFF MEMBER
645;st_step 185636_0;STAFF MEMBER;Request For Payment REJECTED by EMPLOYEE;2018-02-01 08:32:44+01:00;EMPLOYEE;travel permit number 424;UNKNOWN;organizational unit 65462;1581.4098480086489;UNKNOWN;task 427;budget 425;project 426;project 503;request for payment 185628;organizational unit 65454;923.0813153823278;0;travel permit 423;UNKNOWN;request for payment number 185629; request for payment, employee; rejected;; employee;, STAFF MEMBER
646;st_step 185631_0;STAFF MEMBER;Request For Payment SUBMITTED by EMPLOYEE;2018-02-11 14:35:53+01:00;EMPLOYEE;travel permit number 424;UNKNOWN;organizational unit 65462;1581.4098480086489;UNKNOWN;task 427;budget 425;project 426;project 503;request for payment 185628;organizational unit 65454;923.0813153823278;0;travel permit 423;UNKNOWN;request for payment number 185629; request for payment, employee; submitted;; employee;, STAFF MEMBER
647;st_step 185630_0;STAFF MEMBER;Request For Payment APPROVED by ADMINISTRATION;2018-02-11 14:35:59+01:00;ADMINISTRATION;travel permit number 424;UNKNOWN;organizational unit 65462;1581.4098480086489;UNKNOWN;task 427;budget 425;project 426;project 503;request for payment 185628;organizational unit 65454;923.0813153823278;0;travel permit 423;UNKNOWN;request for payment number 185629; request for payment; approved;; administration, administration;, STAFF MEMBER
648;st_step 185632_0;STAFF MEMBER;Request For Payment APPROVED by BUDGET OWNER;2018-02-13 11:18:46+01:00;BUDGET OWNER;travel permit number 424;UNKNOWN;organizational unit 65462;1581.4098480086489;UNKNOWN;task 427;budget 425;project 426;project 503;request for payment 185628;organizational unit 65454;923.0813153823278;0;travel permit 423;UNKNOWN;request for payment number 185629; request for payment; approved;; budget owner, budget owner;, STAFF MEMBER
649;st_step 185633_0;STAFF MEMBER;Request For Payment FINAL_APPROVED by SUPERVISOR;2018-02-13 15:37:04+01:00;SUPERVISOR;travel permit number 424;UNKNOWN;organizational unit 65462;1581.4098480086489;UNKNOWN;task 427;budget 425;project 426;project 503;request for payment 185628;organizational unit 65454;923.0813153823278;0;travel permit 423;UNKNOWN;request for payment number 185629; request for payment; approved; final; supervisor, supervisor;, STAFF MEMBER
650;rp_request for payment 185628_15;SYSTEM;Request Payment;2018-02-19 08:34:35+01:00;UNDEFINED;travel permit number 424;UNKNOWN;organizational unit 65462;1581.4098480086489;UNKNOWN;task 427;budget 425;project 426;project 503;request for payment 185628;organizational unit 65454;923.0813153823278;0;travel permit 423;UNKNOWN;request for payment number 185629; payment; request;;;, SYSTEM
651;rp_request for payment 185628_16;SYSTEM;Payment Handled;2018-02-22 17:30:41+01:00;UNDEFINED;travel permit number 424;UNKNOWN;organizational unit 65462;1581.4098480086489;UNKNOWN;task 427;budget 425;project 426;project 503;request for payment 185628;organizational unit 65454;923.0813153823278;0;travel permit 423;UNKNOWN;request for payment number 185629; payment; handled;;;, SYSTEM
652;st_step 31263_0;STAFF MEMBER;Permit SUBMITTED by EMPLOYEE;2018-01-22 10:55:39+01:00;EMPLOYEE;travel permit number 31253;task 31256;organizational unit 65454;503.9447171388172;activity 505;task 427;budget 1469;project 3062;project 503;request for payment 31257;organizational unit 65460;1370.560946193436;0;travel permit 31252;UNKNOWN;request for payment number 31258; permit, employee; submitted;; employee;, STAFF MEMBER
653;st_step 31261_0;STAFF MEMBER;Permit APPROVED by ADMINISTRATION;2018-01-22 10:55:46+01:00;ADMINISTRATION;travel permit number 31253;task 31256;organizational unit 65454;503.9447171388172;activity 505;task 427;budget 1469;project 3062;project 503;request for payment 31257;organizational unit 65460;1370.560946193436;0;travel permit 31252;UNKNOWN;request for payment number 31258; permit; approved;; administration, administration;, STAFF MEMBER
654;st_step 31264_0;STAFF MEMBER;Permit APPROVED by SUPERVISOR;2018-01-22 11:17:01+01:00;SUPERVISOR;travel permit number 31253;task 31256;organizational unit 65454;503.9447171388172;activity 505;task 427;budget 1469;project 3062;project 503;request for payment 31257;organizational unit 65460;1370.560946193436;0;travel permit 31252;UNKNOWN;request for payment number 31258; permit; approved;; supervisor, supervisor;, STAFF MEMBER
655;st_step 31262_0;STAFF MEMBER;Permit FINAL_APPROVED by DIRECTOR;2018-02-01 08:30:05+01:00;DIRECTOR;travel permit number 31253;task 31256;organizational unit 65454;503.9447171388172;activity 505;task 427;budget 1469;project 3062;project 503;request for payment 31257;organizational unit 65460;1370.560946193436;0;travel permit 31252;UNKNOWN;request for payment number 31258; permit; approved; final; director, director;, STAFF MEMBER
656;st_step 31273_0;STAFF MEMBER;Request For Payment SUBMITTED by EMPLOYEE;2018-04-09 09:13:42+02:00;EMPLOYEE;travel permit number 31253;task 31256;organizational unit 65454;503.9447171388172;activity 505;task 427;budget 1469;project 3062;project 503;request for payment 31257;organizational unit 65460;1370.560946193436;0;travel permit 31252;UNKNOWN;request for payment number 31258; request for payment, employee; submitted;; employee;, STAFF MEMBER
657;st_step 31272_0;STAFF MEMBER;Request For Payment APPROVED by ADMINISTRATION;2018-04-09 09:14:24+02:00;ADMINISTRATION;travel permit number 31253;task 31256;organizational unit 65454;503.9447171388172;activity 505;task 427;budget 1469;project 3062;project 503;request for payment 31257;organizational unit 65460;1370.560946193436;0;travel permit 31252;UNKNOWN;request for payment number 31258; request for payment; approved;; administration, administration;, STAFF MEMBER
658;st_step 31275_0;STAFF MEMBER;Request For Payment APPROVED by BUDGET OWNER;2018-04-09 15:04:15+02:00;BUDGET OWNER;travel permit number 31253;task 31256;organizational unit 65454;503.9447171388172;activity 505;task 427;budget 1469;project 3062;project 503;request for payment 31257;organizational unit 65460;1370.560946193436;0;travel permit 31252;UNKNOWN;request for payment number 31258; request for payment; approved;; budget owner, budget owner;, STAFF MEMBER
659;st_step 31274_0;STAFF MEMBER;Request For Payment FINAL_APPROVED by SUPERVISOR;2018-04-10 14:49:37+02:00;SUPERVISOR;travel permit number 31253;task 31256;organizational unit 65454;503.9447171388172;activity 505;task 427;budget 1469;project 3062;project 503;request for payment 31257;organizational unit 65460;1370.560946193436;0;travel permit 31252;UNKNOWN;request for payment number 31258; request for payment; approved; final; supervisor, supervisor;, STAFF MEMBER
660;rp_request for payment 31257_15;SYSTEM;Request Payment;2018-04-13 09:45:07+02:00;UNDEFINED;travel permit number 31253;task 31256;organizational unit 65454;503.9447171388172;activity 505;task 427;budget 1469;project 3062;project 503;request for payment 31257;organizational unit 65460;1370.560946193436;0;travel permit 31252;UNKNOWN;request for payment number 31258; payment; request;;;, SYSTEM
661;rp_request for payment 31257_16;SYSTEM;Payment Handled;2018-04-16 17:31:11+02:00;UNDEFINED;travel permit number 31253;task 31256;organizational unit 65454;503.9447171388172;activity 505;task 427;budget 1469;project 3062;project 503;request for payment 31257;organizational unit 65460;1370.560946193436;0;travel permit 31252;UNKNOWN;request for payment number 31258; payment; handled;;;, SYSTEM
662;st_step 31263_0;STAFF MEMBER;Permit SUBMITTED by EMPLOYEE;2018-01-22 10:55:39+01:00;EMPLOYEE;travel permit number 31253;task 31256;organizational unit 65454;299.41485286071986;activity 505;task 427;budget 1469;project 3062;project 503;request for payment 31254;organizational unit 65460;1370.560946193436;0;travel permit 31252;UNKNOWN;request for payment number 31255; permit, employee; submitted;; employee;, STAFF MEMBER
663;st_step 31261_0;STAFF MEMBER;Permit APPROVED by ADMINISTRATION;2018-01-22 10:55:46+01:00;ADMINISTRATION;travel permit number 31253;task 31256;organizational unit 65454;299.41485286071986;activity 505;task 427;budget 1469;project 3062;project 503;request for payment 31254;organizational unit 65460;1370.560946193436;0;travel permit 31252;UNKNOWN;request for payment number 31255; permit; approved;; administration, administration;, STAFF MEMBER
664;st_step 31264_0;STAFF MEMBER;Permit APPROVED by SUPERVISOR;2018-01-22 11:17:01+01:00;SUPERVISOR;travel permit number 31253;task 31256;organizational unit 65454;299.41485286071986;activity 505;task 427;budget 1469;project 3062;project 503;request for payment 31254;organizational unit 65460;1370.560946193436;0;travel permit 31252;UNKNOWN;request for payment number 31255; permit; approved;; supervisor, supervisor;, STAFF MEMBER
665;st_step 31262_0;STAFF MEMBER;Permit FINAL_APPROVED by DIRECTOR;2018-02-01 08:30:05+01:00;DIRECTOR;travel permit number 31253;task 31256;organizational unit 65454;299.41485286071986;activity 505;task 427;budget 1469;project 3062;project 503;request for payment 31254;organizational unit 65460;1370.560946193436;0;travel permit 31252;UNKNOWN;request for payment number 31255; permit; approved; final; director, director;, STAFF MEMBER
666;st_step 31270_0;STAFF MEMBER;Request For Payment SUBMITTED by EMPLOYEE;2018-04-09 09:19:15+02:00;EMPLOYEE;travel permit number 31253;task 31256;organizational unit 65454;299.41485286071986;activity 505;task 427;budget 1469;project 3062;project 503;request for payment 31254;organizational unit 65460;1370.560946193436;0;travel permit 31252;UNKNOWN;request for payment number 31255; request for payment, employee; submitted;; employee;, STAFF MEMBER
667;st_step 31269_0;STAFF MEMBER;Request For Payment REJECTED by ADMINISTRATION;2018-04-09 09:19:20+02:00;ADMINISTRATION;travel permit number 31253;task 31256;organizational unit 65454;299.41485286071986;activity 505;task 427;budget 1469;project 3062;project 503;request for payment 31254;organizational unit 65460;1370.560946193436;0;travel permit 31252;UNKNOWN;request for payment number 31255; request for payment; rejected;; administration, administration;, STAFF MEMBER
