;id;org:resource;concept:name;time:timestamp;org:role;case:Project;case:Task;case:concept:name;case:OrganizationalEntity;case:Cost Type;case:RequestedAmount;case:Activity;case:RfpNumber;object:name;action:name;action:status;org:actor:name;org:actor:name:a
183;rp_request for payment 157887_15;SYSTEM;Request Payment;2018-01-18 13:32:57+01:00;UNDEFINED;project 148681;UNKNOWN;request for payment 157887;organizational unit 65467;0;4.645164097154089;UNKNOWN;request for payment number 157888; payment; request;;;, SYSTEM
184;rp_request for payment 157887_16;SYSTEM;Payment Handled;2018-01-22 17:31:18+01:00;UNDEFINED;project 148681;UNKNOWN;request for payment 157887;organizational unit 65467;0;4.645164097154089;UNKNOWN;request for payment number 157888; payment; handled;;;, SYSTEM
185;st_step 157230_0;STAFF MEMBER;Request For Payment SUBMITTED by EMPLOYEE;2017-12-21 14:03:10+01:00;EMPLOYEE;project 147551;UNKNOWN;request for payment 157222;organizational unit 65458;0;27.69596488591085;UNKNOWN;request for payment number 157223; request for payment, employee; submitted;; employee;, STAFF MEMBER
186;st_step 157229_0;STAFF MEMBER;Request For Payment REJECTED by SUPERVISOR;2017-12-21 14:03:14+01:00;SUPERVISOR;project 147551;UNKNOWN;request for payment 157222;organizational unit 65458;0;27.69596488591085;UNKNOWN;request for payment number 157223; request for payment; rejected;; supervisor, supervisor;, STAFF MEMBER
187;st_step 157228_0;STAFF MEMBER;Request For Payment REJECTED by EMPLOYEE;2018-01-06 09:27:12+01:00;EMPLOYEE;project 147551;UNKNOWN;request for payment 157222;organizational unit 65458;0;27.69596488591085;UNKNOWN;request for payment number 157223; request for payment, employee; rejected;; employee;, STAFF MEMBER
188;st_step 157227_0;STAFF MEMBER;Request For Payment SUBMITTED by EMPLOYEE;2018-01-15 11:07:38+01:00;EMPLOYEE;project 147551;UNKNOWN;request for payment 157222;organizational unit 65458;0;27.69596488591085;UNKNOWN;request for payment number 157223; request for payment, employee; submitted;; employee;, STAFF MEMBER
189;st_step 157226_0;STAFF MEMBER;Request For Payment APPROVED by ADMINISTRATION;2018-01-15 11:07:45+01:00;ADMINISTRATION;project 147551;UNKNOWN;request for payment 157222;organizational unit 65458;0;27.69596488591085;UNKNOWN;request for payment number 157223; request for payment; approved;; administration, administration;, STAFF MEMBER
190;st_step 157225_0;STAFF MEMBER;Request For Payment APPROVED by BUDGET OWNER;2018-01-15 12:42:00+01:00;BUDGET OWNER;project 147551;UNKNOWN;request for payment 157222;organizational unit 65458;0;27.69596488591085;UNKNOWN;request for payment number 157223; request for payment; approved;; budget owner, budget owner;, STAFF MEMBER
191;st_step 157224_0;STAFF MEMBER;Request For Payment FINAL_APPROVED by SUPERVISOR;2018-01-15 14:41:07+01:00;SUPERVISOR;project 147551;UNKNOWN;request for payment 157222;organizational unit 65458;0;27.69596488591085;UNKNOWN;request for payment number 157223; request for payment; approved; final; supervisor, supervisor;, STAFF MEMBER
192;rp_request for payment 157222_15;SYSTEM;Request Payment;2018-01-16 10:10:57+01:00;UNDEFINED;project 147551;UNKNOWN;request for payment 157222;organizational unit 65458;0;27.69596488591085;UNKNOWN;request for payment number 157223; payment; request;;;, SYSTEM
193;rp_request for payment 157222_16;SYSTEM;Payment Handled;2018-01-18 17:31:10+01:00;UNDEFINED;project 147551;UNKNOWN;request for payment 157222;organizational unit 65458;0;27.69596488591085;UNKNOWN;request for payment number 157223; payment; handled;;;, SYSTEM
194;st_step 155246_0;STAFF MEMBER;Request For Payment SUBMITTED by EMPLOYEE;2018-01-06 10:00:19+01:00;EMPLOYEE;project 147556;UNKNOWN;request for payment 155245;organizational unit 65455;0;0.9532466812643535;UNKNOWN;UNKNOWN; request for payment, employee; submitted;; employee;, STAFF MEMBER
195;st_step 155249_0;STAFF MEMBER;Request For Payment APPROVED by ADMINISTRATION;2018-01-06 10:00:55+01:00;ADMINISTRATION;project 147556;UNKNOWN;request for payment 155245;organizational unit 65455;0;0.9532466812643535;UNKNOWN;UNKNOWN; request for payment; approved;; administration, administration;, STAFF MEMBER
196;st_step 155248_0;STAFF MEMBER;Request For Payment REJECTED by SUPERVISOR;2018-01-06 10:26:07+01:00;SUPERVISOR;project 147556;UNKNOWN;request for payment 155245;organizational unit 65455;0;0.9532466812643535;UNKNOWN;UNKNOWN; request for payment; rejected;; supervisor, supervisor;, STAFF MEMBER
197;st_step 155247_0;STAFF MEMBER;Request For Payment REJECTED by EMPLOYEE;2018-01-06 10:35:27+01:00;EMPLOYEE;project 147556;UNKNOWN;request for payment 155245;organizational unit 65455;0;0.9532466812643535;UNKNOWN;UNKNOWN; request for payment, employee; rejected;; employee;, STAFF MEMBER
198;st_step 159196_0;STAFF MEMBER;Request For Payment SUBMITTED by EMPLOYEE;2018-01-07 22:42:31+01:00;EMPLOYEE;project 147620;task 76059;request for payment 159193;organizational unit 65463;0;91.01847341754711;activity 505;request for payment number 159194; request for payment, employee; submitted;; employee;, STAFF MEMBER
199;st_step 159195_0;STAFF MEMBER;Request For Payment APPROVED by ADMINISTRATION;2018-01-07 22:42:40+01:00;ADMINISTRATION;project 147620;task 76059;request for payment 159193;organizational unit 65463;0;91.01847341754711;activity 505;request for payment number 159194; request for payment; approved;; administration, administration;, STAFF MEMBER
200;st_step 159197_0;STAFF MEMBER;Request For Payment FINAL_APPROVED by SUPERVISOR;2018-01-08 12:25:10+01:00;SUPERVISOR;project 147620;task 76059;request for payment 159193;organizational unit 65463;0;91.01847341754711;activity 505;request for payment number 159194; request for payment; approved; final; supervisor, supervisor;, STAFF MEMBER
201;rp_request for payment 159193_15;SYSTEM;Request Payment;2018-01-11 09:11:48+01:00;UNDEFINED;project 147620;task 76059;request for payment 159193;organizational unit 65463;0;91.01847341754711;activity 505;request for payment number 159194; payment; request;;;, SYSTEM
202;rp_request for payment 159193_16;SYSTEM;Payment Handled;2018-01-15 17:31:33+01:00;UNDEFINED;project 147620;task 76059;request for payment 159193;organizational unit 65463;0;91.01847341754711;activity 505;request for payment number 159194; payment; handled;;;, SYSTEM
203;st_step 157908_0;STAFF MEMBER;Request For Payment SUBMITTED by EMPLOYEE;2018-01-08 08:06:55+01:00;EMPLOYEE;project 503;UNKNOWN;request for payment 157905;organizational unit 65458;0;195.0003295932936;UNKNOWN;request for payment number 157906; request for payment, employee; submitted;; employee;, STAFF MEMBER
204;st_step 157907_0;STAFF MEMBER;Request For Payment APPROVED by ADMINISTRATION;2018-01-08 08:08:57+01:00;ADMINISTRATION;project 503;UNKNOWN;request for payment 157905;organizational unit 65458;0;195.0003295932936;UNKNOWN;request for payment number 157906; request for payment; approved;; administration, administration;, STAFF MEMBER
205;st_step 157910_0;STAFF MEMBER;Request For Payment APPROVED by BUDGET OWNER;2018-01-08 11:00:33+01:00;BUDGET OWNER;project 503;UNKNOWN;request for payment 157905;organizational unit 65458;0;195.0003295932936;UNKNOWN;request for payment number 157906; request for payment; approved;; budget owner, budget owner;, STAFF MEMBER
206;st_step 157909_0;STAFF MEMBER;Request For Payment FINAL_APPROVED by SUPERVISOR;2018-01-09 09:37:56+01:00;SUPERVISOR;project 503;UNKNOWN;request for payment 157905;organizational unit 65458;0;195.0003295932936;UNKNOWN;request for payment number 157906; request for payment; approved; final; supervisor, supervisor;, STAFF MEMBER
207;rp_request for payment 157905_15;SYSTEM;Request Payment;2018-01-11 11:24:11+01:00;UNDEFINED;project 503;UNKNOWN;request for payment 157905;organizational unit 65458;0;195.0003295932936;UNKNOWN;request for payment number 157906; payment; request;;;, SYSTEM
208;rp_request for payment 157905_16;SYSTEM;Payment Handled;2018-01-15 17:31:33+01:00;UNDEFINED;project 503;UNKNOWN;request for payment 157905;organizational unit 65458;0;195.0003295932936;UNKNOWN;request for payment number 157906; payment; handled;;;, SYSTEM
209;st_step 157914_0;STAFF MEMBER;Request For Payment SUBMITTED by EMPLOYEE;2018-01-08 09:47:21+01:00;EMPLOYEE;UNKNOWN;UNKNOWN;request for payment 157911;organizational unit 65475;0;66.99640798041793;UNKNOWN;UNKNOWN; request for payment, employee; submitted;; employee;, STAFF MEMBER
210;st_step 157912_0;STAFF MEMBER;Request For Payment REJECTED by ADMINISTRATION;2018-01-08 09:48:42+01:00;ADMINISTRATION;UNKNOWN;UNKNOWN;request for payment 157911;organizational unit 65475;0;66.99640798041793;UNKNOWN;UNKNOWN; request for payment; rejected;; administration, administration;, STAFF MEMBER
211;st_step 157913_0;STAFF MEMBER;Request For Payment REJECTED by EMPLOYEE;2018-01-10 09:55:04+01:00;EMPLOYEE;UNKNOWN;UNKNOWN;request for payment 157911;organizational unit 65475;0;66.99640798041793;UNKNOWN;UNKNOWN; request for payment, employee; rejected;; employee;, STAFF MEMBER
212;st_step 154161_0;STAFF MEMBER;Request For Payment SUBMITTED by EMPLOYEE;2018-01-08 10:17:51+01:00;EMPLOYEE;project 147742;task 28555;request for payment 154156;organizational unit 65475;0;1207.7345293686249;activity 505;request for payment number 154157; request for payment, employee; submitted;; employee;, STAFF MEMBER
213;st_step 154162_0;STAFF MEMBER;Request For Payment APPROVED by ADMINISTRATION;2018-01-08 10:18:07+01:00;ADMINISTRATION;project 147742;task 28555;request for payment 154156;organizational unit 65475;0;1207.7345293686249;activity 505;request for payment number 154157; request for payment; approved;; administration, administration;, STAFF MEMBER
214;st_step 154163_0;STAFF MEMBER;Request For Payment REJECTED by SUPERVISOR;2018-01-11 16:15:36+01:00;SUPERVISOR;project 147742;task 28555;request for payment 154156;organizational unit 65475;0;1207.7345293686249;activity 505;request for payment number 154157; request for payment; rejected;; supervisor, supervisor;, STAFF MEMBER
215;st_step 154164_0;STAFF MEMBER;Request For Payment REJECTED by EMPLOYEE;2018-01-16 15:21:38+01:00;EMPLOYEE;project 147742;task 28555;request for payment 154156;organizational unit 65475;0;1207.7345293686249;activity 505;request for payment number 154157; request for payment, employee; rejected;; employee;, STAFF MEMBER
216;st_step 154159_0;STAFF MEMBER;Request For Payment SUBMITTED by EMPLOYEE;2018-01-16 18:33:47+01:00;EMPLOYEE;project 147742;task 28555;request for payment 154156;organizational unit 65475;0;1207.7345293686249;activity 505;request for payment number 154157; request for payment, employee; submitted;; employee;, STAFF MEMBER
217;st_step 154160_0;STAFF MEMBER;Request For Payment APPROVED by ADMINISTRATION;2018-01-16 18:33:57+01:00;ADMINISTRATION;project 147742;task 28555;request for payment 154156;organizational unit 65475;0;1207.7345293686249;activity 505;request for payment number 154157; request for payment; approved;; administration, administration;, STAFF MEMBER
218;st_step 154158_0;STAFF MEMBER;Request For Payment FINAL_APPROVED by SUPERVISOR;2018-01-17 09:18:14+01:00;SUPERVISOR;project 147742;task 28555;request for payment 154156;organizational unit 65475;0;1207.7345293686249;activity 505;request for payment number 154157; request for payment; approved; final; supervisor, supervisor;, STAFF MEMBER
219;rp_request for payment 154156_15;SYSTEM;Request Payment;2018-01-18 08:21:58+01:00;UNDEFINED;project 147742;task 28555;request for payment 154156;organizational unit 65475;0;1207.7345293686249;activity 505;request for payment number 154157; payment; request;;;, SYSTEM
220;rp_request for payment 154156_16;SYSTEM;Payment Handled;2018-01-22 17:31:18+01:00;UNDEFINED;project 147742;task 28555;request for payment 154156;organizational unit 65475;0;1207.7345293686249;activity 505;request for payment number 154157; payment; handled;;;, SYSTEM
221;st_step 154935_0;STAFF MEMBER;Request For Payment SUBMITTED by EMPLOYEE;2018-01-08 13:46:18+01:00;EMPLOYEE;project 147572;UNKNOWN;request for payment 154927;organizational unit 65476;0;29.742169492796005;UNKNOWN;request for payment number 154928; request for payment, employee; submitted;; employee;, STAFF MEMBER
222;st_step 154933_0;STAFF MEMBER;Request For Payment REJECTED by ADMINISTRATION;2018-01-08 13:46:40+01:00;ADMINISTRATION;project 147572;UNKNOWN;request for payment 154927;organizational unit 65476;0;29.742169492796005;UNKNOWN;request for payment number 154928; request for payment; rejected;; administration, administration;, STAFF MEMBER
223;st_step 154934_0;STAFF MEMBER;Request For Payment REJECTED by EMPLOYEE;2018-01-12 15:45:10+01:00;EMPLOYEE;project 147572;UNKNOWN;request for payment 154927;organizational unit 65476;0;29.742169492796005;UNKNOWN;request for payment number 154928; request for payment, employee; rejected;; employee;, STAFF MEMBER
224;st_step 154931_0;STAFF MEMBER;Request For Payment SUBMITTED by EMPLOYEE;2018-03-27 20:26:51+02:00;EMPLOYEE;project 147572;UNKNOWN;request for payment 154927;organizational unit 65476;0;29.742169492796005;UNKNOWN;request for payment number 154928; request for payment, employee; submitted;; employee;, STAFF MEMBER
225;st_step 154930_0;STAFF MEMBER;Request For Payment APPROVED by ADMINISTRATION;2018-03-27 20:27:08+02:00;ADMINISTRATION;project 147572;UNKNOWN;request for payment 154927;organizational unit 65476;0;29.742169492796005;UNKNOWN;request for payment number 154928; request for payment; approved;; administration, administration;, STAFF MEMBER
226;st_step 154929_0;STAFF MEMBER;Request For Payment APPROVED by BUDGET OWNER;2018-04-04 12:25:32+02:00;BUDGET OWNER;project 147572;UNKNOWN;request for payment 154927;organizational unit 65476;0;29.742169492796005;UNKNOWN;request for payment number 154928; request for payment; approved;; budget owner, budget owner;, STAFF MEMBER
227;st_step 154932_0;STAFF MEMBER;Request For Payment FINAL_APPROVED by SUPERVISOR;2018-04-05 13:46:10+02:00;SUPERVISOR;project 147572;UNKNOWN;request for payment 154927;organizational unit 65476;0;29.742169492796005;UNKNOWN;request for payment number 154928; request for payment; approved; final; supervisor, supervisor;, STAFF MEMBER
228;rp_request for payment 154927_15;SYSTEM;Request Payment;2018-04-16 14:09:54+02:00;UNDEFINED;project 147572;UNKNOWN;request for payment 154927;organizational unit 65476;0;29.742169492796005;UNKNOWN;request for payment number 154928; payment; request;;;, SYSTEM
229;rp_request for payment 154927_16;SYSTEM;Payment Handled;2018-04-19 17:31:32+02:00;UNDEFINED;project 147572;UNKNOWN;request for payment 154927;organizational unit 65476;0;29.742169492796005;UNKNOWN;request for payment number 154928; payment; handled;;;, SYSTEM
230;st_step 157956_0;STAFF MEMBER;Request For Payment SUBMITTED by EMPLOYEE;2018-01-09 08:09:55+01:00;EMPLOYEE;project 147649;task 57248;request for payment 157942;organizational unit 65468;0;11.95061240236232;activity 505;request for payment number 157943; request for payment, employee; submitted;; employee;, STAFF MEMBER
231;st_step 157953_0;STAFF MEMBER;Request For Payment APPROVED by ADMINISTRATION;2018-01-09 15:44:53+01:00;ADMINISTRATION;project 147649;task 57248;request for payment 157942;organizational unit 65468;0;11.95061240236232;activity 505;request for payment number 157943; request for payment; approved;; administration, administration;, STAFF MEMBER
232;st_step 157954_0;STAFF MEMBER;Request For Payment APPROVED by BUDGET OWNER;2018-01-10 08:17:44+01:00;BUDGET OWNER;project 147649;task 57248;request for payment 157942;organizational unit 65468;0;11.95061240236232;activity 505;request for payment number 157943; request for payment; approved;; budget owner, budget owner;, STAFF MEMBER
233;st_step 157955_0;STAFF MEMBER;Request For Payment REJECTED by SUPERVISOR;2018-01-17 05:15:25+01:00;SUPERVISOR;project 147649;task 57248;request for payment 157942;organizational unit 65468;0;11.95061240236232;activity 505;request for payment number 157943; request for payment; rejected;; supervisor, supervisor;, STAFF MEMBER
234;st_step 157952_0;STAFF MEMBER;Request For Payment REJECTED by EMPLOYEE;2018-01-18 10:31:00+01:00;EMPLOYEE;project 147649;task 57248;request for payment 157942;organizational unit 65468;0;11.95061240236232;activity 505;request for payment number 157943; request for payment, employee; rejected;; employee;, STAFF MEMBER
235;st_step 157948_0;STAFF MEMBER;Request For Payment SUBMITTED by EMPLOYEE;2018-01-18 11:04:38+01:00;EMPLOYEE;project 147649;task 57248;request for payment 157942;organizational unit 65468;0;11.95061240236232;activity 505;request for payment number 157943; request for payment, employee; submitted;; employee;, STAFF MEMBER
236;st_step 157946_0;STAFF MEMBER;Request For Payment APPROVED by ADMINISTRATION;2018-01-18 11:04:42+01:00;ADMINISTRATION;project 147649;task 57248;request for payment 157942;organizational unit 65468;0;11.95061240236232;activity 505;request for payment number 157943; request for payment; approved;; administration, administration;, STAFF MEMBER
237;st_step 157944_0;STAFF MEMBER;Request For Payment APPROVED by BUDGET OWNER;2018-01-22 13:40:05+01:00;BUDGET OWNER;project 147649;task 57248;request for payment 157942;organizational unit 65468;0;11.95061240236232;activity 505;request for payment number 157943; request for payment; approved;; budget owner, budget owner;, STAFF MEMBER
238;st_step 157950_0;STAFF MEMBER;Request For Payment REJECTED by SUPERVISOR;2018-01-23 10:30:21+01:00;SUPERVISOR;project 147649;task 57248;request for payment 157942;organizational unit 65468;0;11.95061240236232;activity 505;request for payment number 157943; request for payment; rejected;; supervisor, supervisor;, STAFF MEMBER
239;st_step 157951_0;STAFF MEMBER;Request For Payment SUBMITTED by EMPLOYEE;2018-01-23 10:39:33+01:00;EMPLOYEE;project 147649;task 57248;request for payment 157942;organizational unit 65468;0;11.95061240236232;activity 505;request for payment number 157943; request for payment, employee; submitted;; employee;, STAFF MEMBER
240;st_step 157947_0;STAFF MEMBER;Request For Payment APPROVED by ADMINISTRATION;2018-01-31 14:30:41+01:00;ADMINISTRATION;project 147649;task 57248;request for payment 157942;organizational unit 65468;0;11.95061240236232;activity 505;request for payment number 157943; request for payment; approved;; administration, administration;, STAFF MEMBER
241;st_step 157945_0;STAFF MEMBER;Request For Payment APPROVED by BUDGET OWNER;2018-02-05 08:28:57+01:00;BUDGET OWNER;project 147649;task 57248;request for payment 157942;organizational unit 65468;0;11.95061240236232;activity 505;request for payment number 157943; request for payment; approved;; budget owner, budget owner;, STAFF MEMBER
242;st_step 157949_0;STAFF MEMBER;Request For Payment FINAL_APPROVED by SUPERVISOR;2018-02-12 05:15:34+01:00;SUPERVISOR;project 147649;task 57248;request for payment 157942;organizational unit 65468;0;11.95061240236232;activity 505;request for payment number 157943; request for payment; approved; final; supervisor, supervisor;, STAFF MEMBER
243;rp_request for payment 157942_15;SYSTEM;Request Payment;2018-02-22 11:15:05+01:00;UNDEFINED;project 147649;task 57248;request for payment 157942;organizational unit 65468;0;11.95061240236232;activity 505;request for payment number 157943; payment; request;;;, SYSTEM
244;rp_request for payment 157942_16;SYSTEM;Payment Handled;2018-02-26 17:31:27+01:00;UNDEFINED;project 147649;task 57248;request for payment 157942;organizational unit 65468;0;11.95061240236232;activity 505;request for payment number 157943; payment; handled;;;, SYSTEM
245;st_step 154765_0;STAFF MEMBER;Request For Payment SUBMITTED by EMPLOYEE;2018-01-09 12:27:14+01:00;EMPLOYEE;project 147620;UNKNOWN;request for payment 154763;organizational unit 65460;0;1347.2974211874218;UNKNOWN;request for payment number 154764; request for payment, employee; submitted;; employee;, STAFF MEMBER
246;st_step 154767_0;STAFF MEMBER;Request For Payment APPROVED by ADMINISTRATION;2018-01-09 12:27:26+01:00;ADMINISTRATION;project 147620;UNKNOWN;request for payment 154763;organizational unit 65460;0;1347.2974211874218;UNKNOWN;request for payment number 154764; request for payment; approved;; administration, administration;, STAFF MEMBER
247;st_step 154768_0;STAFF MEMBER;Request For Payment APPROVED by BUDGET OWNER;2018-01-11 08:35:20+01:00;BUDGET OWNER;project 147620;UNKNOWN;request for payment 154763;organizational unit 65460;0;1347.2974211874218;UNKNOWN;request for payment number 154764; request for payment; approved;; budget owner, budget owner;, STAFF MEMBER
248;st_step 154766_0;STAFF MEMBER;Request For Payment APPROVED by SUPERVISOR;2018-01-12 00:07:02+01:00;SUPERVISOR;project 147620;UNKNOWN;request for payment 154763;organizational unit 65460;0;1347.2974211874218;UNKNOWN;request for payment number 154764; request for payment; approved;; supervisor, supervisor;, STAFF MEMBER
249;st_step 154769_0;STAFF MEMBER;Request For Payment FINAL_APPROVED by DIRECTOR;2018-01-16 09:01:32+01:00;DIRECTOR;project 147620;UNKNOWN;request for payment 154763;organizational unit 65460;0;1347.2974211874218;UNKNOWN;request for payment number 154764; request for payment; approved; final; director, director;, STAFF MEMBER
250;rp_request for payment 154763_15;SYSTEM;Request Payment;2018-01-23 09:41:10+01:00;UNDEFINED;project 147620;UNKNOWN;request for payment 154763;organizational unit 65460;0;1347.2974211874218;UNKNOWN;request for payment number 154764; payment; request;;;, SYSTEM
251;rp_request for payment 154763_16;SYSTEM;Payment Handled;2018-01-25 17:31:09+01:00;UNDEFINED;project 147620;UNKNOWN;request for payment 154763;organizational unit 65460;0;1347.2974211874218;UNKNOWN;request for payment number 154764; payment; handled;;;, SYSTEM
252;st_step 155048_0;STAFF MEMBER;Request For Payment SUBMITTED by EMPLOYEE;2018-01-09 17:17:27+01:00;EMPLOYEE;project 147546;UNKNOWN;request for payment 155039;organizational unit 65470;0;15.303204277509897;UNKNOWN;request for payment number 155040; request for payment, employee; submitted;; employee;, STAFF MEMBER
253;st_step 155047_0;STAFF MEMBER;Request For Payment APPROVED by ADMINISTRATION;2018-01-09 17:17:34+01:00;ADMINISTRATION;project 147546;UNKNOWN;request for payment 155039;organizational unit 65470;0;15.303204277509897;UNKNOWN;request for payment number 155040; request for payment; approved;; administration, administration;, STAFF MEMBER
254;st_step 155046_0;STAFF MEMBER;Request For Payment REJECTED by BUDGET OWNER;2018-01-10 09:24:40+01:00;BUDGET OWNER;project 147546;UNKNOWN;request for payment 155039;organizational unit 65470;0;15.303204277509897;UNKNOWN;request for payment number 155040; request for payment; rejected;; budget owner, budget owner;, STAFF MEMBER
255;st_step 155045_0;STAFF MEMBER;Request For Payment REJECTED by EMPLOYEE;2018-01-11 11:22:16+01:00;EMPLOYEE;project 147546;UNKNOWN;request for payment 155039;organizational unit 65470;0;15.303204277509897;UNKNOWN;request for payment number 155040; request for payment, employee; rejected;; employee;, STAFF MEMBER
256;st_step 155044_0;STAFF MEMBER;Request For Payment SUBMITTED by EMPLOYEE;2018-07-23 17:21:10+02:00;EMPLOYEE;project 147546;UNKNOWN;request for payment 155039;organizational unit 65470;0;15.303204277509897;UNKNOWN;request for payment number 155040; request for payment, employee; submitted;; employee;, STAFF MEMBER
257;st_step 155043_0;STAFF MEMBER;Request For Payment APPROVED by ADMINISTRATION;2018-07-23 17:21:46+02:00;ADMINISTRATION;project 147546;UNKNOWN;request for payment 155039;organizational unit 65470;0;15.303204277509897;UNKNOWN;request for payment number 155040; request for payment; approved;; administration, administration;, STAFF MEMBER
258;st_step 155042_0;STAFF MEMBER;Request For Payment APPROVED by BUDGET OWNER;2018-07-25 15:07:10+02:00;BUDGET OWNER;project 147546;UNKNOWN;request for payment 155039;organizational unit 65470;0;15.303204277509897;UNKNOWN;request for payment number 155040; request for payment; approved;; budget owner, budget owner;, STAFF MEMBER
259;st_step 155041_0;STAFF MEMBER;Request For Payment FINAL_APPROVED by SUPERVISOR;2018-08-01 05:15:54+02:00;SUPERVISOR;project 147546;UNKNOWN;request for payment 155039;organizational unit 65470;0;15.303204277509897;UNKNOWN;request for payment number 155040; request for payment; approved; final; supervisor, supervisor;, STAFF MEMBER
260;rp_request for payment 155039_15;SYSTEM;Request Payment;2018-08-02 08:42:19+02:00;UNDEFINED;project 147546;UNKNOWN;request for payment 155039;organizational unit 65470;0;15.303204277509897;UNKNOWN;request for payment number 155040; payment; request;;;, SYSTEM
261;rp_request for payment 155039_16;SYSTEM;Payment Handled;2018-08-06 17:31:07+02:00;UNDEFINED;project 147546;UNKNOWN;request for payment 155039;organizational unit 65470;0;15.303204277509897;UNKNOWN;request for payment number 155040; payment; handled;;;, SYSTEM
262;st_step 154812_0;STAFF MEMBER;Request For Payment SUBMITTED by EMPLOYEE;2018-01-10 12:17:27+01:00;EMPLOYEE;project 149069;task 154804;request for payment 154802;organizational unit 65454;0;9957.715737470287;activity 505;request for payment number 154803; request for payment, employee; submitted;; employee;, STAFF MEMBER
263;st_step 154810_0;STAFF MEMBER;Request For Payment APPROVED by ADMINISTRATION;2018-01-10 12:17:39+01:00;ADMINISTRATION;project 149069;task 154804;request for payment 154802;organizational unit 65454;0;9957.715737470287;activity 505;request for payment number 154803; request for payment; approved;; administration, administration;, STAFF MEMBER
264;st_step 154811_0;STAFF MEMBER;Request For Payment REJECTED by SUPERVISOR;2018-01-11 08:20:38+01:00;SUPERVISOR;project 149069;task 154804;request for payment 154802;organizational unit 65454;0;9957.715737470287;activity 505;request for payment number 154803; request for payment; rejected;; supervisor, supervisor;, STAFF MEMBER
265;st_step 154809_0;STAFF MEMBER;Request For Payment REJECTED by EMPLOYEE;2018-01-16 14:58:32+01:00;EMPLOYEE;project 149069;task 154804;request for payment 154802;organizational unit 65454;0;9957.715737470287;activity 505;request for payment number 154803; request for payment, employee; rejected;; employee;, STAFF MEMBER
266;st_step 154805_0;STAFF MEMBER;Request For Payment SUBMITTED by EMPLOYEE;2018-01-17 09:46:54+01:00;EMPLOYEE;project 149069;task 154804;request for payment 154802;organizational unit 65454;0;9957.715737470287;activity 505;request for payment number 154803; request for payment, employee; submitted;; employee;, STAFF MEMBER
267;st_step 154806_0;STAFF MEMBER;Request For Payment APPROVED by ADMINISTRATION;2018-01-17 09:47:50+01:00;ADMINISTRATION;project 149069;task 154804;request for payment 154802;organizational unit 65454;0;9957.715737470287;activity 505;request for payment number 154803; request for payment; approved;; administration, administration;, STAFF MEMBER
268;st_step 154807_0;STAFF MEMBER;Request For Payment APPROVED by SUPERVISOR;2018-01-17 12:12:31+01:00;SUPERVISOR;project 149069;task 154804;request for payment 154802;organizational unit 65454;0;9957.715737470287;activity 505;request for payment number 154803; request for payment; approved;; supervisor, supervisor;, STAFF MEMBER
269;st_step 154808_0;STAFF MEMBER;Request For Payment FINAL_APPROVED by DIRECTOR;2018-01-19 12:57:30+01:00;DIRECTOR;project 149069;task 154804;request for payment 154802;organizational unit 65454;0;9957.715737470287;activity 505;request for payment number 154803; request for payment; approved; final; director, director;, STAFF MEMBER
270;rp_request for payment 154802_15;SYSTEM;Request Payment;2018-01-22 11:27:47+01:00;UNDEFINED;project 149069;task 154804;request for payment 154802;organizational unit 65454;0;9957.715737470287;activity 505;request for payment number 154803; payment; request;;;, SYSTEM
271;rp_request for payment 154802_16;SYSTEM;Payment Handled;2018-01-25 17:31:09+01:00;UNDEFINED;project 149069;task 154804;request for payment 154802;organizational unit 65454;0;9957.715737470287;activity 505;request for payment number 154803; payment; handled;;;, SYSTEM
272;st_step 158086_0;STAFF MEMBER;Request For Payment SUBMITTED by EMPLOYEE;2018-01-17 12:54:19+01:00;EMPLOYEE;project 503;task 158075;request for payment 158073;organizational unit 65461;0;233.51321213794196;activity 505;request for payment number 158074; request for payment, employee; submitted;; employee;, STAFF MEMBER
273;st_step 158087_0;STAFF MEMBER;Request For Payment APPROVED by ADMINISTRATION;2018-01-17 13:00:12+01:00;ADMINISTRATION;project 503;task 158075;request for payment 158073;organizational unit 65461;0;233.51321213794196;activity 505;request for payment number 158074; request for payment; approved;; administration, administration;, STAFF MEMBER
274;st_step 158085_0;STAFF MEMBER;Request For Payment APPROVED by BUDGET OWNER;2018-01-18 12:34:56+01:00;BUDGET OWNER;project 503;task 158075;request for payment 158073;organizational unit 65461;0;233.51321213794196;activity 505;request for payment number 158074; request for payment; approved;; budget owner, budget owner;, STAFF MEMBER
275;st_step 158089_0;STAFF MEMBER;Request For Payment REJECTED by SUPERVISOR;2018-01-19 13:19:50+01:00;SUPERVISOR;project 503;task 158075;request for payment 158073;organizational unit 65461;0;233.51321213794196;activity 505;request for payment number 158074; request for payment; rejected;; supervisor, supervisor;, STAFF MEMBER
276;st_step 158088_0;STAFF MEMBER;Request For Payment REJECTED by EMPLOYEE;2018-01-22 15:09:24+01:00;EMPLOYEE;project 503;task 158075;request for payment 158073;organizational unit 65461;0;233.51321213794196;activity 505;request for payment number 158074; request for payment, employee; rejected;; employee;, STAFF MEMBER
277;st_step 158084_0;STAFF MEMBER;Request For Payment SUBMITTED by EMPLOYEE;2018-01-22 15:21:33+01:00;EMPLOYEE;project 503;task 158075;request for payment 158073;organizational unit 65461;0;233.51321213794196;activity 505;request for payment number 158074; request for payment, employee; submitted;; employee;, STAFF MEMBER
