;amount;org:resource;dismissal;concept:name;vehicleClass;totalPaymentAmount;lifecycle:transition;time:timestamp;article;points;case:concept:name;expense;notificationType;lastSent;paymentAmount;matricola;object:name;action:name;action:status:a;org:actor:name;org:actor:instance:a;org:passive:name
386;;;;Receive Result Appeal from Prefecture;;;complete;2010-03-08 00:00:00+01:00;;;A43211;;;;;; result appeal; receive;, complete; prefecture;, nan;
387;;;;Notify Result Appeal to Offender;;;complete;2010-03-20 00:00:00+01:00;;;A43211;;;;;; result appeal; notify;, complete;;, nan; offender
388;38.0;568;NIL;Create Fine;A;0.0;complete;2009-06-18 00:00:00+02:00;157.0;0.0;A43302;;;;;; fine; create;, complete;;, 568;
389;;;;Send Fine;;;complete;2009-09-18 00:00:00+02:00;;;A43302;26.0;;;;; fine; send;, complete;;, nan;
390;;;;Insert Fine Notification;;;complete;2009-09-28 00:00:00+02:00;;;A43302;;P;P;;; fine notification; insert;, complete;;, nan;
391;;;;Insert Date Appeal to Prefecture;;;complete;2009-10-09 00:00:00+02:00;;;A43302;;;;;; date appeal; insert;, complete;;, nan; prefecture
392;77.5;;;Add penalty;;;complete;2009-11-27 00:00:00+01:00;;;A43302;;;;;; penalty; add;, complete;;, nan;
393;;;;Receive Result Appeal from Prefecture;;;complete;2010-03-08 00:00:00+01:00;;;A43302;;;;;; result appeal; receive;, complete; prefecture;, nan;
394;;;;Notify Result Appeal to Offender;;;complete;2010-03-16 00:00:00+01:00;;;A43302;;;;;; result appeal; notify;, complete;;, nan; offender
395;;;NIL;Send Appeal to Prefecture;;;complete;2011-12-25 00:00:00+01:00;;;A43302;;;;;; appeal; send;, complete;;, nan; prefecture
396;;;;Send for Credit Collection;;;complete;2012-03-26 00:00:00+02:00;;;A43302;;;;;; for credit collection; send;, complete;;, nan;
397;38.0;567;NIL;Create Fine;A;0.0;complete;2009-08-02 00:00:00+02:00;157.0;0.0;A44928;;;;;; fine; create;, complete;;, 567;
398;;;;Send Fine;;;complete;2009-12-09 00:00:00+01:00;;;A44928;26.0;;;;; fine; send;, complete;;, nan;
399;;;;Insert Fine Notification;;;complete;2009-12-16 00:00:00+01:00;;;A44928;;P;P;;; fine notification; insert;, complete;;, nan;
400;;;;Insert Date Appeal to Prefecture;;;complete;2010-01-22 00:00:00+01:00;;;A44928;;;;;; date appeal; insert;, complete;;, nan; prefecture
401;77.5;;;Add penalty;;;complete;2010-02-14 00:00:00+01:00;;;A44928;;;;;; penalty; add;, complete;;, nan;
402;;;NIL;Send Appeal to Prefecture;;;complete;2010-06-04 00:00:00+02:00;;;A44928;;;;;; appeal; send;, complete;;, nan; prefecture
403;;;;Receive Result Appeal from Prefecture;;;complete;2010-09-21 00:00:00+02:00;;;A44928;;;;;; result appeal; receive;, complete; prefecture;, nan;
404;;0;NIL;Appeal to Judge;;;complete;2010-09-27 00:00:00+02:00;;;A44928;;;;;0.0;; appeal;, complete;;, 0; judge
405;;;;Notify Result Appeal to Offender;;;complete;2010-10-02 00:00:00+02:00;;;A44928;;;;;; result appeal; notify;, complete;;, nan; offender
406;;;;Payment;;102.0;complete;2010-11-26 00:00:00+01:00;;;A44928;;;;102.0;;; payment;, complete;;, nan;
407;21.0;563;NIL;Create Fine;A;0.0;complete;2006-08-22 00:00:00+02:00;7.0;0.0;A590;;;;;; fine; create;, complete;;, 563;
408;;;;Send Fine;;;complete;2006-12-14 00:00:00+01:00;;;A590;11.0;;;;; fine; send;, complete;;, nan;
409;;;;Insert Fine Notification;;;complete;2006-12-22 00:00:00+01:00;;;A590;;P;P;;; fine notification; insert;, complete;;, nan;
410;42.5;;;Add penalty;;;complete;2007-02-20 00:00:00+01:00;;;A590;;;;;; penalty; add;, complete;;, nan;
411;;0;NIL;Appeal to Judge;;;complete;2007-02-26 00:00:00+01:00;;;A590;;;;;0.0;; appeal;, complete;;, 0; judge
412;;;;Payment;;53.0;complete;2008-09-12 00:00:00+02:00;;;A590;;;;53.0;;; payment;, complete;;, nan;
413;35.0;550;NIL;Create Fine;A;0.0;complete;2006-12-07 00:00:00+01:00;157.0;0.0;A5922;;;;;; fine; create;, complete;;, 550;
414;;;;Insert Date Appeal to Prefecture;;;complete;2007-04-30 00:00:00+02:00;;;A5922;;;;;; date appeal; insert;, complete;;, nan; prefecture
415;;;;Send Fine;;;complete;2007-06-27 00:00:00+02:00;;;A5922;16.6;;;;; fine; send;, complete;;, nan;
416;;;;Insert Fine Notification;;;complete;2007-07-06 00:00:00+02:00;;;A5922;;P;P;;; fine notification; insert;, complete;;, nan;
417;71.5;;;Add penalty;;;complete;2007-09-04 00:00:00+02:00;;;A5922;;;;;; penalty; add;, complete;;, nan;
418;;;NIL;Send Appeal to Prefecture;;;complete;2011-12-25 00:00:00+01:00;;;A5922;;;;;; appeal; send;, complete;;, nan; prefecture
419;35.0;541;NIL;Create Fine;A;0.0;complete;2006-08-12 00:00:00+02:00;157.0;0.0;A823;;;;;; fine; create;, complete;;, 541;
420;;;;Send Fine;;;complete;2006-12-13 00:00:00+01:00;;;A823;11.0;;;;; fine; send;, complete;;, nan;
421;;;;Insert Fine Notification;;;complete;2007-01-03 00:00:00+01:00;;;A823;;P;P;;; fine notification; insert;, complete;;, nan;
422;;0;NIL;Appeal to Judge;;;complete;2007-02-20 00:00:00+01:00;;;A823;;;;;0.0;; appeal;, complete;;, 0; judge
423;71.5;;;Add penalty;;;complete;2007-03-04 00:00:00+01:00;;;A823;;;;;; penalty; add;, complete;;, nan;
424;;;;Insert Date Appeal to Prefecture;;;complete;2007-03-12 00:00:00+01:00;;;A823;;;;;; date appeal; insert;, complete;;, nan; prefecture
425;;;NIL;Send Appeal to Prefecture;;;complete;2007-05-03 00:00:00+02:00;;;A823;;;;;; appeal; send;, complete;;, nan; prefecture
426;;;;Payment;;82.5;complete;2007-12-18 00:00:00+01:00;;;A823;;;;82.5;;; payment;, complete;;, nan;
427;36.0;558;NIL;Create Fine;A;0.0;complete;2007-02-06 00:00:00+01:00;157.0;0.0;A8733;;;;;; fine; create;, complete;;, 558;
428;;;;Send Fine;;;complete;2007-06-27 00:00:00+02:00;;;A8733;22.0;;;;; fine; send;, complete;;, nan;
429;;;;Insert Fine Notification;;;complete;2007-07-06 00:00:00+02:00;;;A8733;;P;P;;; fine notification; insert;, complete;;, nan;
430;;;;Insert Date Appeal to Prefecture;;;complete;2007-08-03 00:00:00+02:00;;;A8733;;;;;; date appeal; insert;, complete;;, nan; prefecture
431;74.0;;;Add penalty;;;complete;2007-09-04 00:00:00+02:00;;;A8733;;;;;; penalty; add;, complete;;, nan;
432;;;NIL;Send Appeal to Prefecture;;;complete;2007-09-04 00:00:00+02:00;;;A8733;;;;;; appeal; send;, complete;;, nan; prefecture
433;;;;Receive Result Appeal from Prefecture;;;complete;2007-09-27 00:00:00+02:00;;;A8733;;;;;; result appeal; receive;, complete; prefecture;, nan;
434;;;;Notify Result Appeal to Offender;;;complete;2007-10-06 00:00:00+02:00;;;A8733;;;;;; result appeal; notify;, complete;;, nan; offender
435;312.97;11;NIL;Create Fine;A;0.0;complete;2000-03-30 00:00:00+02:00;122.0;0.0;C10852;;;;;; fine; create;, complete;;, 11;
436;;;;Send Fine;;;complete;2000-03-30 00:00:00+02:00;;;C10852;0.0;;;;; fine; send;, complete;;, nan;
437;;;;Insert Fine Notification;;;complete;2000-03-30 00:00:00+02:00;;;C10852;;P;N;;; fine notification; insert;, complete;;, nan;
438;625.95;;;Add penalty;;;complete;2000-05-29 00:00:00+02:00;;;C10852;;;;;; penalty; add;, complete;;, nan;
439;;;;Insert Date Appeal to Prefecture;;;complete;2000-06-02 00:00:00+02:00;;;C10852;;;;;; date appeal; insert;, complete;;, nan; prefecture
440;;;NIL;Send Appeal to Prefecture;;;complete;2000-06-20 00:00:00+02:00;;;C10852;;;;;; appeal; send;, complete;;, nan; prefecture
441;;;;Payment;;62.59;complete;2000-09-11 00:00:00+02:00;;;C10852;;;;62.59;;; payment;, complete;;, nan;
442;;;;Payment;;125.18;complete;2000-10-05 00:00:00+02:00;;;C10852;;;;62.59;;; payment;, complete;;, nan;
443;;;;Payment;;187.77;complete;2000-11-06 00:00:00+01:00;;;C10852;;;;62.59;;; payment;, complete;;, nan;
444;;;;Payment;;250.36;complete;2000-12-05 00:00:00+01:00;;;C10852;;;;62.59;;; payment;, complete;;, nan;
445;;;;Payment;;312.95;complete;2001-01-09 00:00:00+01:00;;;C10852;;;;62.59;;; payment;, complete;;, nan;
446;;;;Payment;;375.54;complete;2001-03-05 00:00:00+01:00;;;C10852;;;;62.59;;; payment;, complete;;, nan;
447;;;;Payment;;438.13;complete;2001-05-02 00:00:00+02:00;;;C10852;;;;62.59;;; payment;, complete;;, nan;
448;;;;Payment;;500.72;complete;2001-05-30 00:00:00+02:00;;;C10852;;;;62.59;;; payment;, complete;;, nan;
449;;;;Payment;;563.31;complete;2001-07-03 00:00:00+02:00;;;C10852;;;;62.59;;; payment;, complete;;, nan;
450;;;;Payment;;625.9;complete;2001-08-30 00:00:00+02:00;;;C10852;;;;62.59;;; payment;, complete;;, nan;
451;18.78;28;NIL;Create Fine;C;0.0;complete;2000-04-06 00:00:00+02:00;180.0;0.0;C11327;;;;;; fine; create;, complete;;, 28;
452;;;;Insert Date Appeal to Prefecture;;;complete;2000-04-22 00:00:00+02:00;;;C11327;;;;;; date appeal; insert;, complete;;, nan; prefecture
453;;;NIL;Send Appeal to Prefecture;;;complete;2000-04-26 00:00:00+02:00;;;C11327;;;;;; appeal; send;, complete;;, nan; prefecture
454;;;;Send Fine;;;complete;2000-07-09 00:00:00+02:00;;;C11327;12.91;;;;; fine; send;, complete;;, nan;
455;;;;Insert Fine Notification;;;complete;2000-07-14 00:00:00+02:00;;;C11327;;P;N;;; fine notification; insert;, complete;;, nan;
456;;;;Payment;;25.23;complete;2000-08-10 00:00:00+02:00;;;C11327;;;;25.23;;; payment;, complete;;, nan;
457;37.56;;;Add penalty;;;complete;2000-09-12 00:00:00+02:00;;;C11327;;;;;; penalty; add;, complete;;, nan;
458;;;;Payment;;31.69;complete;2001-02-16 00:00:00+01:00;;;C11327;;;;6.46;;; payment;, complete;;, nan;
459;65.6;34;NIL;Create Fine;A;0.0;complete;2001-01-28 00:00:00+01:00;145.0;0.0;C12875;;;;;; fine; create;, complete;;, 34;
460;;;;Insert Date Appeal to Prefecture;;;complete;2001-03-14 00:00:00+01:00;;;C12875;;;;;; date appeal; insert;, complete;;, nan; prefecture
461;;;#;Send Appeal to Prefecture;;;complete;2001-04-05 00:00:00+02:00;;;C12875;;;;;; appeal; send;, complete;;, nan; prefecture
462;;;;Send Fine;;;complete;2001-05-09 00:00:00+02:00;;;C12875;11.88;;;;; fine; send;, complete;;, nan;
463;655.99;31;NIL;Create Fine;A;0.0;complete;2001-04-09 00:00:00+02:00;193.0;0.0;C13062;;;;;; fine; create;, complete;;, 31;
464;;;;Send Fine;;;complete;2001-04-09 00:00:00+02:00;;;C13062;0.0;;;;; fine; send;, complete;;, nan;
465;;;;Insert Fine Notification;;;complete;2001-04-09 00:00:00+02:00;;;C13062;;P;N;;; fine notification; insert;, complete;;, nan;
466;;;;Insert Date Appeal to Prefecture;;;complete;2001-05-21 00:00:00+02:00;;;C13062;;;;;; date appeal; insert;, complete;;, nan; prefecture
467;1311.98;;;Add penalty;;;complete;2001-06-08 00:00:00+02:00;;;C13062;;;;;; penalty; add;, complete;;, nan;
468;;;;Payment;;65.6;complete;2002-12-09 00:00:00+01:00;;;C13062;;;;65.6;;; payment;, complete;;, nan;
469;;;;Payment;;131.2;complete;2003-01-07 00:00:00+01:00;;;C13062;;;;65.6;;; payment;, complete;;, nan;
470;;;;Payment;;196.8;complete;2003-02-06 00:00:00+01:00;;;C13062;;;;65.6;;; payment;, complete;;, nan;
471;;;;Payment;;262.4;complete;2003-03-07 00:00:00+01:00;;;C13062;;;;65.6;;; payment;, complete;;, nan;
472;;;;Payment;;328.0;complete;2003-04-07 00:00:00+02:00;;;C13062;;;;65.6;;; payment;, complete;;, nan;
473;;;;Payment;;393.6;complete;2003-05-07 00:00:00+02:00;;;C13062;;;;65.6;;; payment;, complete;;, nan;
474;;;;Payment;;459.2;complete;2003-06-10 00:00:00+02:00;;;C13062;;;;65.6;;; payment;, complete;;, nan;
475;;;;Payment;;524.8;complete;2003-07-07 00:00:00+02:00;;;C13062;;;;65.6;;; payment;, complete;;, nan;
476;;;;Payment;;590.4;complete;2003-08-07 00:00:00+02:00;;;C13062;;;;65.6;;; payment;, complete;;, nan;
477;;;;Payment;;656.0;complete;2003-09-09 00:00:00+02:00;;;C13062;;;;65.6;;; payment;, complete;;, nan;
478;327.0;26;NIL;Create Fine;A;0.0;complete;2002-07-18 00:00:00+02:00;23.0;0.0;C13897;;;;;; fine; create;, complete;;, 26;
479;;;;Send Fine;;;complete;2002-07-18 00:00:00+02:00;;;C13897;0.0;;;;; fine; send;, complete;;, nan;
480;;;;Insert Fine Notification;;;complete;2002-07-18 00:00:00+02:00;;;C13897;;P;N;;; fine notification; insert;, complete;;, nan;
481;;0;NIL;Appeal to Judge;;;complete;2002-07-19 00:00:00+02:00;;;C13897;;;;;0.0;; appeal;, complete;;, 0; judge
482;655.5;;;Add penalty;;;complete;2002-09-16 00:00:00+02:00;;;C13897;;;;;; penalty; add;, complete;;, nan;
483;;;;Insert Date Appeal to Prefecture;;;complete;2002-09-16 00:00:00+02:00;;;C13897;;;;;; date appeal; insert;, complete;;, nan; prefecture
484;;;NIL;Send Appeal to Prefecture;;;complete;2002-09-17 00:00:00+02:00;;;C13897;;;;;; appeal; send;, complete;;, nan; prefecture
485;131.2;9;NIL;Create Fine;A;0.0;complete;2001-11-05 00:00:00+01:00;20.0;0.0;C14426;;;;;; fine; create;, complete;;, 9;
486;;;;Send Fine;;;complete;2001-11-16 00:00:00+01:00;;;C14426;13.43;;;;; fine; send;, complete;;, nan;
487;;;;Insert Fine Notification;;;complete;2001-12-22 00:00:00+01:00;;;C14426;;P;N;;; fine notification; insert;, complete;;, nan;
488;;;;Insert Date Appeal to Prefecture;;;complete;2001-12-27 00:00:00+01:00;;;C14426;;;;;; date appeal; insert;, complete;;, nan; prefecture
489;;;NIL;Send Appeal to Prefecture;;;complete;2002-01-16 00:00:00+01:00;;;C14426;;;;;; appeal; send;, complete;;, nan; prefecture
490;;;;Receive Result Appeal from Prefecture;;;complete;2002-01-17 00:00:00+01:00;;;C14426;;;;;; result appeal; receive;, complete; prefecture;, nan;
491;262.4;;;Add penalty;;;complete;2002-02-20 00:00:00+01:00;;;C14426;;;;;; penalty; add;, complete;;, nan;
492;;;;Notify Result Appeal to Offender;;;complete;2002-06-26 00:00:00+02:00;;;C14426;;;;;; result appeal; notify;, complete;;, nan; offender
493;;;;Send for Credit Collection;;;complete;2004-01-10 00:00:00+01:00;;;C14426;;;;;; for credit collection; send;, complete;;, nan;
494;65.0;827;NIL;Create Fine;A;0.0;complete;2002-06-22 00:00:00+02:00;145.0;0.0;C14976;;;;;; fine; create;, complete;;, 827;
495;;;;Send Fine;;;complete;2002-06-22 00:00:00+02:00;;;C14976;0.0;;;;; fine; send;, complete;;, nan;
496;;;;Insert Fine Notification;;;complete;2002-06-22 00:00:00+02:00;;;C14976;;P;N;;; fine notification; insert;, complete;;, nan;
497;131.0;;;Add penalty;;;complete;2002-08-21 00:00:00+02:00;;;C14976;;;;;; penalty; add;, complete;;, nan;
498;;;;Payment;;65.0;complete;2002-08-21 00:00:00+02:00;;;C14976;;;;65.0;;; payment;, complete;;, nan;
499;;;;Insert Date Appeal to Prefecture;;;complete;2002-08-22 00:00:00+02:00;;;C14976;;;;;; date appeal; insert;, complete;;, nan; prefecture
500;;;NIL;Send Appeal to Prefecture;;;complete;2002-09-10 00:00:00+02:00;;;C14976;;;;;; appeal; send;, complete;;, nan; prefecture
501;137.55;43;NIL;Create Fine;C;0.0;complete;2004-03-22 00:00:00+01:00;80.0;0.0;C15958;;;;;; fine; create;, complete;;, 43;
502;;;;Send Fine;;;complete;2004-03-22 00:00:00+01:00;;;C15958;0.0;;;;; fine; send;, complete;;, nan;
503;;;;Insert Fine Notification;;;complete;2004-03-22 00:00:00+01:00;;;C15958;;C;;;; fine notification; insert;, complete;;, nan;
504;275.1;;;Add penalty;;;complete;2004-05-21 00:00:00+02:00;;;C15958;;;;;; penalty; add;, complete;;, nan;
505;;;;Payment;;55.02;complete;2004-06-09 00:00:00+02:00;;;C15958;;;;55.02;;; payment;, complete;;, nan;
506;;;;Payment;;110.04;complete;2004-07-19 00:00:00+02:00;;;C15958;;;;55.02;;; payment;, complete;;, nan;
507;;;;Payment;;165.06;complete;2004-08-25 00:00:00+02:00;;;C15958;;;;55.02;;; payment;, complete;;, nan;
508;;;;Payment;;220.08;complete;2004-09-21 00:00:00+02:00;;;C15958;;;;55.02;;; payment;, complete;;, nan;
509;;;;Payment;;275.1;complete;2004-10-04 00:00:00+02:00;;;C15958;;;;55.02;;; payment;, complete;;, nan;
510;33.6;41;NIL;Create Fine;A;0.0;complete;2003-09-26 00:00:00+02:00;180.0;0.0;C16549;;;;;; fine; create;, complete;;, 41;
511;;;;Send Fine;;;complete;2003-09-26 00:00:00+02:00;;;C16549;0.0;;;;; fine; send;, complete;;, nan;
512;;;;Insert Fine Notification;;;complete;2003-09-26 00:00:00+02:00;;;C16549;;C;N;;; fine notification; insert;, complete;;, nan;
513;;;;Insert Date Appeal to Prefecture;;;complete;2003-11-14 00:00:00+01:00;;;C16549;;;;;; date appeal; insert;, complete;;, nan; prefecture
514;68.77;;;Add penalty;;;complete;2003-11-25 00:00:00+01:00;;;C16549;;;;;; penalty; add;, complete;;, nan;
515;;;;Payment;;33.6;complete;2003-11-26 00:00:00+01:00;;;C16549;;;;33.6;;; payment;, complete;;, nan;
516;;;NIL;Send Appeal to Prefecture;;;complete;2003-12-03 00:00:00+01:00;;;C16549;;;;;; appeal; send;, complete;;, nan; prefecture
517;137.55;42;NIL;Create Fine;A;0.0;complete;2003-09-17 00:00:00+02:00;41.0;0.0;C16950;;;;;; fine; create;, complete;;, 42;
518;;;;Send Fine;;;complete;2003-09-17 00:00:00+02:00;;;C16950;0.0;;;;; fine; send;, complete;;, nan;
519;;;;Insert Fine Notification;;;complete;2003-09-17 00:00:00+02:00;;;C16950;;P;N;;; fine notification; insert;, complete;;, nan;
520;;;;Insert Date Appeal to Prefecture;;;complete;2003-10-07 00:00:00+02:00;;;C16950;;;;;; date appeal; insert;, complete;;, nan; prefecture
521;;;NIL;Send Appeal to Prefecture;;;complete;2003-10-27 00:00:00+01:00;;;C16950;;;;;; appeal; send;, complete;;, nan; prefecture
522;275.1;;;Add penalty;;;complete;2003-11-16 00:00:00+01:00;;;C16950;;;;;; penalty; add;, complete;;, nan;
523;;;;Receive Result Appeal from Prefecture;;;complete;2003-12-15 00:00:00+01:00;;;C16950;;;;;; result appeal; receive;, complete; prefecture;, nan;
524;;;;Notify Result Appeal to Offender;;;complete;2004-02-20 00:00:00+01:00;;;C16950;;;;;; result appeal; notify;, complete;;, nan; offender
525;;0;NIL;Appeal to Judge;;;complete;2004-02-21 00:00:00+01:00;;;C16950;;;;;0.0;; appeal;, complete;;, 0; judge
526;;;;Payment;;51.19;complete;2005-03-10 00:00:00+01:00;;;C16950;;;;51.19;;; payment;, complete;;, nan;
527;;;;Payment;;102.38;complete;2005-04-12 00:00:00+02:00;;;C16950;;;;51.19;;; payment;, complete;;, nan;
528;;;;Payment;;153.57;complete;2005-05-12 00:00:00+02:00;;;C16950;;;;51.19;;; payment;, complete;;, nan;
529;0.0;40;NIL;Create Fine;C;0.0;complete;2005-02-02 00:00:00+01:00;192.0;0.0;C17552;;;;;; fine; create;, complete;;, 40;
530;;;;Send Fine;;;complete;2005-04-13 00:00:00+02:00;;;C17552;16.0;;;;; fine; send;, complete;;, nan;
531;;;;Insert Fine Notification;;;complete;2005-04-13 00:00:00+02:00;;;C17552;;P;;;; fine notification; insert;, complete;;, nan;
532;0.0;;;Add penalty;;;complete;2005-06-12 00:00:00+02:00;;;C17552;;;;;; penalty; add;, complete;;, nan;
533;;;;Receive Result Appeal from Prefecture;;;complete;2005-10-07 00:00:00+02:00;;;C17552;;;;;; result appeal; receive;, complete; prefecture;, nan;
534;;;;Notify Result Appeal to Offender;;;complete;2005-12-16 00:00:00+01:00;;;C17552;;;;;; result appeal; notify;, complete;;, nan; offender
535;;0;G;Appeal to Judge;;;complete;2006-01-12 00:00:00+01:00;;;C17552;;;;;0.0;; appeal;, complete;;, 0; judge
536;687.75;53;NIL;Create Fine;C;0.0;complete;2004-11-07 00:00:00+01:00;193.0;0.0;C17607;;;;;; fine; create;, complete;;, 53;
537;;;;Send Fine;;;complete;2004-11-07 00:00:00+01:00;;;C17607;0.0;;;;; fine; send;, complete;;, nan;
538;;;;Insert Fine Notification;;;complete;2004-11-07 00:00:00+01:00;;;C17607;;P;C;;; fine notification; insert;, complete;;, nan;
539;;0;NIL;Appeal to Judge;;;complete;2004-11-09 00:00:00+01:00;;;C17607;;;;;0.0;; appeal;, complete;;, 0; judge
540;1377.07;;;Add penalty;;;complete;2005-01-06 00:00:00+01:00;;;C17607;;;;;; penalty; add;, complete;;, nan;
541;;;;Payment;;50.0;complete;2006-03-06 00:00:00+01:00;;;C17607;;;;50.0;;; payment;, complete;;, nan;
542;;;;Payment;;100.0;complete;2006-04-03 00:00:00+02:00;;;C17607;;;;50.0;;; payment;, complete;;, nan;
543;;;;Payment;;150.0;complete;2006-05-09 00:00:00+02:00;;;C17607;;;;50.0;;; payment;, complete;;, nan;
544;;;;Payment;;200.0;complete;2006-06-07 00:00:00+02:00;;;C17607;;;;50.0;;; payment;, complete;;, nan;
545;;;;Payment;;250.0;complete;2006-07-10 00:00:00+02:00;;;C17607;;;;50.0;;; payment;, complete;;, nan;
546;;;;Payment;;300.0;complete;2006-08-08 00:00:00+02:00;;;C17607;;;;50.0;;; payment;, complete;;, nan;
547;;;;Payment;;350.0;complete;2006-09-20 00:00:00+02:00;;;C17607;;;;50.0;;; payment;, complete;;, nan;
548;;;;Payment;;400.0;complete;2006-10-26 00:00:00+02:00;;;C17607;;;;50.0;;; payment;, complete;;, nan;
549;;;;Payment;;450.0;complete;2006-12-07 00:00:00+01:00;;;C17607;;;;50.0;;; payment;, complete;;, nan;
550;;;;Payment;;500.0;complete;2007-01-03 00:00:00+01:00;;;C17607;;;;50.0;;; payment;, complete;;, nan;
551;;;;Payment;;600.0;complete;2007-02-21 00:00:00+01:00;;;C17607;;;;50.0;;; payment;, complete;;, nan;
552;;;;Payment;;687.75;complete;2007-05-02 00:00:00+02:00;;;C17607;;;;87.75;;; payment;, complete;;, nan;
553;143.0;55;NIL;Create Fine;A;0.0;complete;2005-11-16 00:00:00+01:00;20.0;0.0;C17798;;;;;; fine; create;, complete;;, 55;
554;;;;Send Fine;;;complete;2005-11-16 00:00:00+01:00;;;C17798;0.0;;;;; fine; send;, complete;;, nan;
555;;;;Insert Fine Notification;;;complete;2005-11-16 00:00:00+01:00;;;C17798;;P;C;;; fine notification; insert;, complete;;, nan;
556;;0;NIL;Appeal to Judge;;;complete;2005-12-22 00:00:00+01:00;;;C17798;;;;;0.0;; appeal;, complete;;, 0; judge
557;286.5;;;Add penalty;;;complete;2006-01-15 00:00:00+01:00;;;C17798;;;;;; penalty; add;, complete;;, nan;
558;;;;Payment;;141.0;complete;2007-02-21 00:00:00+01:00;;;C17798;;;;141.0;;; payment;, complete;;, nan;
559;;;;Payment;;286.5;complete;2007-07-10 00:00:00+02:00;;;C17798;;;;145.5;;; payment;, complete;;, nan;
560;716.0;30;NIL;Create Fine;C;0.0;complete;2005-09-09 00:00:00+02:00;193.0;0.0;C18190;;;;;; fine; create;, complete;;, 30;
561;;;;Send Fine;;;complete;2005-12-22 00:00:00+01:00;;;C18190;0.0;;;;; fine; send;, complete;;, nan;
562;;;;Insert Fine Notification;;;complete;2006-01-14 00:00:00+01:00;;;C18190;;P;P;;; fine notification; insert;, complete;;, nan;
563;;0;NIL;Appeal to Judge;;;complete;2006-03-13 00:00:00+01:00;;;C18190;;;;;0.0;; appeal;, complete;;, 0; judge
564;1433.5;;;Add penalty;;;complete;2006-03-15 00:00:00+01:00;;;C18190;;;;;; penalty; add;, complete;;, nan;
565;;;;Payment;;72.0;complete;2006-09-05 00:00:00+02:00;;;C18190;;;;72.0;;; payment;, complete;;, nan;
566;;;;Payment;;144.0;complete;2006-10-05 00:00:00+02:00;;;C18190;;;;72.0;;; payment;, complete;;, nan;
567;;;;Payment;;216.0;complete;2006-11-06 00:00:00+01:00;;;C18190;;;;72.0;;; payment;, complete;;, nan;
568;;;;Payment;;288.0;complete;2006-12-05 00:00:00+01:00;;;C18190;;;;72.0;;; payment;, complete;;, nan;
569;;;;Payment;;360.0;complete;2007-01-09 00:00:00+01:00;;;C18190;;;;72.0;;; payment;, complete;;, nan;
570;;;;Payment;;432.0;complete;2007-02-08 00:00:00+01:00;;;C18190;;;;72.0;;; payment;, complete;;, nan;
571;;;;Payment;;504.0;complete;2007-03-05 00:00:00+01:00;;;C18190;;;;72.0;;; payment;, complete;;, nan;
572;;;;Payment;;576.0;complete;2007-04-05 00:00:00+02:00;;;C18190;;;;72.0;;; payment;, complete;;, nan;
573;;;;Payment;;648.0;complete;2007-05-07 00:00:00+02:00;;;C18190;;;;72.0;;; payment;, complete;;, nan;
574;;;;Payment;;727.0;complete;2007-06-12 00:00:00+02:00;;;C18190;;;;79.0;;; payment;, complete;;, nan;
575;287.7;46;NIL;Create Fine;A;0.0;complete;2005-11-21 00:00:00+01:00;94.0;0.0;C18213;;;;;; fine; create;, complete;;, 46;
576;;;;Send Fine;;;complete;2005-11-21 00:00:00+01:00;;;C18213;0.0;;;;; fine; send;, complete;;, nan;
577;;;;Insert Fine Notification;;;complete;2005-11-21 00:00:00+01:00;;;C18213;;P;C;;; fine notification; insert;, complete;;, nan;
578;720.83;;;Add penalty;;;complete;2006-01-20 00:00:00+01:00;;;C18213;;;;;; penalty; add;, complete;;, nan;
579;;;;Insert Date Appeal to Prefecture;;;complete;2006-12-12 00:00:00+01:00;;;C18213;;;;;; date appeal; insert;, complete;;, nan; prefecture
580;;;;Payment;;150.0;complete;2006-12-15 00:00:00+01:00;;;C18213;;;;150.0;;; payment;, complete;;, nan;
581;;;;Payment;;300.0;complete;2007-01-19 00:00:00+01:00;;;C18213;;;;150.0;;; payment;, complete;;, nan;
582;;;;Payment;;450.0;complete;2007-02-22 00:00:00+01:00;;;C18213;;;;150.0;;; payment;, complete;;, nan;
583;;;;Payment;;600.0;complete;2007-03-28 00:00:00+02:00;;;C18213;;;;150.0;;; payment;, complete;;, nan;
584;138.0;40;NIL;Create Fine;C;0.0;complete;2006-08-09 00:00:00+02:00;146.0;0.0;C18902;;;;;; fine; create;, complete;;, 40;
585;;;;Send Fine;;;complete;2006-08-09 00:00:00+02:00;;;C18902;22.0;;;;; fine; send;, complete;;, nan;
586;;;;Insert Fine Notification;;;complete;2006-08-09 00:00:00+02:00;;;C18902;;C;C;;; fine notification; insert;, complete;;, nan;
587;;;;Insert Date Appeal to Prefecture;;;complete;2006-08-22 00:00:00+02:00;;;C18902;;;;;; date appeal; insert;, complete;;, nan; prefecture
588;275.0;;;Add penalty;;;complete;2006-10-08 00:00:00+02:00;;;C18902;;;;;; penalty; add;, complete;;, nan;
589;;;NIL;Send Appeal to Prefecture;;;complete;2006-10-16 00:00:00+02:00;;;C18902;;;;;; appeal; send;, complete;;, nan; prefecture
590;;;;Receive Result Appeal from Prefecture;;;complete;2006-11-23 00:00:00+01:00;;;C18902;;;;;; result appeal; receive;, complete; prefecture;, nan;
